"VAR2","VAR3","SPCD","STATE","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","129","WI",42,10.4761904761905,5.2,23.1,2.17751857050986,9.76591576428871,0.394737482144517,5.40347631687583,1.62753294347089,8.71565227138887,0.178999212995437,2.18735225173713,0.990772714475748
"Merch Stem Bark Volume","ST_BK_CV_MER","261","WI",23,15.7608695652174,8.7,20.2,1.05206865652923,19.5626106284156,0.782817673531195,15.0705128857101,1.06720453564014,20.4658999779165,0.0754213996306916,1.2928759113085,0.505786359235532
"Merch Stem Wood Volume","ST_WD_CV_MER","261","WI",24,15.8416666666667,8.7,20.2,3.41186877691211,7.69533795815326,-5.26067702231102,-12.7246309366436,5.35366111049718,13.5671070459683,0.383106552620658,6.23141524275607,0.807811624885307
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","261","WI",31,13.7032258064516,6.1,20.2,3.25397227913628,9.17586531105979,-3.28370968331369,-6.74592566230454,3.49372824659926,9.96587762641133,0.289693828520908,4.58579607756227,0.956054512567104
"Sawlog Bark Volume","ST_BK_CV_SAW","261","WI",22,16.0818181818182,9.2,20.2,0.996534083107053,18.1705259121129,0.694440541747338,14.3310263322925,0.985387732025479,19.3252801973985,0.0693425697908579,1.19590461019655,0.562503243749871
"Sawlog Wood Volume","ST_WD_CV_SAW","261","WI",25,16.692,9.2,27.2,4.3336618866083,11.3240210189265,-5.05032754273195,-11.8188593813583,5.74192843505062,14.5512413654166,0.399907693271458,6.59812159803233,0.908395731159131
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","261","WI",22,16.0818181818182,9.2,20.2,3.2907076226947,9.8550123531941,-5.07583360487044,-10.3865680273699,5.26839166949534,12.6516157479504,0.376194272524542,6.00837975086987,0.844117509418292
"Stump Bark Volume","SP_BK_CV","261","WI",23,15.7608695652174,8.7,20.2,0.0561791723556459,22.3051518455328,0.0585671680875419,25.328989451199,0.0653595982545154,27.3956445289193,0.00471713562357691,0.0803056092127494,-0.254556750183984
"Stump Wood Volume","SP_WD_CV","261","WI",28,16.75,8.7,27.2,0.241908741442749,12.486430870583,-0.0135794263627742,-0.842860098779495,0.178688516047305,9.67419941444156,0.0141522863274633,0.237937482860727,0.918872932128739
"Stump Wood+Bark Volume","SP_WDBK_CV","261","WI",31,13.7032258064516,6.1,20.2,0.228997611447653,15.0245061272518,0.0330978377295346,2.96684771927902,0.170474593346955,12.4223002258752,0.0158468199305672,0.227692255113259,0.926797322181757
"Total Stem Bark Volume","ST_BK_CV_TOT","261","WI",23,15.7608695652174,8.7,20.2,1.11092135315749,19.5388870980048,0.867008401636986,15.985986997514,1.14326519505154,20.7810688022126,0.0810215827182729,1.39003283726521,0.462638332566027
"Total Stem Wood Volume","ST_WD_CV_TOT","261","WI",28,16.75,8.7,27.2,4.49936977423456,9.16298538096178,-4.18731208113037,-9.75265800325188,5.25977773452656,11.8935510056534,0.36545416183829,6.08727353605405,0.943345221717137
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","261","WI",31,13.7032258064516,6.1,20.2,3.27616905554547,8.46062626997901,-3.19754803039703,-5.972802068301,3.43549006585438,8.85369668110382,0.286442035613825,4.53997380276293,0.959828918277081
"Merch Stem Bark Volume","ST_BK_CV_MER","316","WI",191,9.79633507853403,5,25.1,0.93737259181386,94.5823048916736,-0.0687570077139496,32.2575939231438,0.601066729006848,61.1216052378242,0.0739058284543413,0.937440424368552,0.717319081673188
